Collezione,Editore,Anno,Diverse
UEFA Champions League 2021-2022,Topps,2022,596
UEFA Champions League 2022-2023 Match Attax,Topps,2023,212
Calciatori 2021-2022,Panini,2022,420
Calciatori 1984-1985,Panini,1985,120
Calciatori 2004-2005,Panini,2005,595
Calciatori 2025-2026,Panini,2026,505
Calciatori Adrenalyn XL 2020-2021,Panini,2021,260
Calciatori Adrenalyn XL 2023-2024,Panini,2024,40
Calciatori Adrenalyn XL 2024-2025,Panini,2025,272
Calciatori 2022-2023,Panini,2023,297
Calciatori 2024-2025,Panini,2025,496
FIFA 365 2025,Panini,2025,400
UEFA Champions League 2023-2024,Topps,2024,425
Liga Este 2024-2025,Panini,2025,500
Calciatori 2020-2021,Panini,2021,224
Foot 2023-2024,Panini,2024,386
Liga Este 2023-2024,Panini,2024,285
Liga Este 2021-2022,Panini,2022,273
Calciatori 2023-2024,Panini,2024,194
UEFA Champions League 2020-2021 Match Attax,Topps,2021,184
FIFA World Class 2024,Panini,2024,166
FIFA 365 2021,Panini,2021,120
FIFA 365 2022,Panini,2022,113
Ligue 1 Adrenalyn XL 2023-2024,Panini,2024,113
UEFA Euro 2024 Match Attax,Topps,2024,109
Azzurri 2024 Adrenalyn XL,Panini,2024,107
Champions League 2024-2025,Topps,2025,99
Juventus 2020-2021,Europublishing,2021,88
UEFA Champions League & Europa League 2023-2024 Match Attax,Topps,2024,87
Unici 2021,Panini,2021,86
Au Plus Pres Des Bleus 2020,Panini,2020,72
Ligue 1 Adrenalyn XL 2024-2025,Panini,2025,67
Paris Saint-Germain 50 ans,Panini,2021,66
FIFA World Cup Brazil 2014 Adrenalyn XL,Panini,2014,64
Futebol 2020-2021,Panini,2021,61
Futebol 2021-2022,Panini,2022,56
Liga Este 2025-2026,Panini,2026,55
Calciatori 2021-2022 Adrenalyn XL,Panini,2022,55
Calciatori 2019-2020,Panini,2020,44
Chrome UEFA Club Competitions 2025-2026,Topps,2026,42
FFF Tournament Edition 2024,Panini,2024,41
Fiers d'etre Bleus 2018 - Team France,Panini,2018,40
Champions League 2019-2020,Panini,2020,40
Calciatori Adrenalyn XL 2023-2024,Panini,2024,40
Calciatori Adrenalyn XL 2019-2020,Panini,2020,39
Calciatori Adrenalyn XL 2019-2020,Panini,2020,39
Calciatori Adrenalyn XL 2019-2020,Panini,2020,39
Top Class 2022,Panini,2022,36
La Liga Adrenalyn XL 2018 2019,Panini,2019,35
Foot 2020-2021,Panini,2021,34
Champions League 2014-2015,Panini,2015,31
UEFA Champions League 2008-2009,Panini,2009,31
Donruss Elite La Liga 2022-2023,Panini,2023,30
UEFA Euro Poland-Ukraine 2012 Germania,Panini,2012,29
Fiers d'etre Bleus - Team France 2023,Panini,2023,29
UEFA Euro 2024,Topps,2024,28
UEFA Euro 2020 Kick-Off Adrenalyn XL,Panini,2021,28
Calciatori Adrenalyn XL 2018-2019,Panini,2019,27
Calcio 98,Merlin,1998,26
FIFA World Cup Qatar 2022 Adrenalyn XL,Panini,2022,26
Fuoriclasse non solo in campo,Panini,2023,24
Calcioflash 1993,Euroflash,1993,23
Road to UEFA Euro 2020 Adrenalyn XL,Panini,2019,23
UEFA Euro 2020 Preview Adrenalyn XL,Panini,2020,23
Pro League 2022-2023,Panini,2023,22
English Premier League 2024-2025,Panini,2025,20
Football Champions Italia 2001-2002,Wizards,2002,18
FIFA World Cup Qatar 2022 Arancione,Panini,2022,18
Calciatori 1994-1995,Panini,1995,18
Score La Liga 2022-2023,Panini,2023,18
UEFA Champions League 2019-2020 Match Attax (inlgese),Topps,2020,16
Foot 2016-2017,Panini,2017,15
FIFA World Cup Brazil 2014,Panini,2014,15
Anteprima Calciatori 2024-2025,Panini,2025,15
UEFA Euro 2004 Portugal,Panini,2004,14
Score Serie A 2021-2022,Panini,2022,14
UEFA Euro 2020 Tournament Edition Arancione,Panini,2021,13
Calciatori 1993-1994,Panini,1994,12
UEFA Euro Poland-Ukraine 2012 Adrenalyn XL,Panini,2012,12
Score FIFA 2021 2022,Panini,2022,10
Calciatori 2009-2010,Panini,2010,10
Calciatori 2012-2013,Panini,2013,9
Calciatori 2002-2003,Panini,2003,9
FIFA World Cup Qatar 2022 Blu,Panini,2022,9
Football Champions Italia 2003-2004,Wizards,2004,9
Superfoot 1998-1999,Panini,1999,8
Au Plus Pres des Bleus 2022,Panini,2022,8
La Liga Hypermotion 2024-2025,Panini,2025,8
Calciatori 2014-2015,Panini,2015,7
La Liga Megacracks 2023 2024,Panini,2024,6
Anteprima Calciatori 2021-2022,Panini,2022,6
Calciatori 2017-2018,Panini,2018,5
Donruss Elite Serie A 2022-2023,Panini,2023,5
UEFA Champions League 2015-2016 Match Attax (francese),Topps,2016,5
UEFA Euro 2020 Preview Azzurro,Panini,2020,5
FIFA World Cup Germany 2006,Panini,2006,4
UEFA Champions League 2016-2017,Topps,2017,4
Calciatori 2008-2009,Panini,2009,4
Ligue 1 Adrenalyn XL 2021-2022,Panini,2022,4
Road to FIFA World Cup Russia 2018,Panini,2018,3
UEFA Euro France 2016,Panini,2016,3
Futebol 95-96,Panini,1996,2
Bologna 1996-1997,Ediland,1997,2
Anteprima Calciatori 2023-2024,Panini,2024,2
Ligue 1 Adrenalyn XL 2018-2019,Panini,2019,2
Foot 2024-2025,Panini,2025,2
FIFA 365 2020,Panini,2020,2
Calciatori 1990-1991,Panini,1991,2
Foot 2006-2007,Panini,2007,2
Bayern Munich 2014-2015,Panini,2015,1
Ligue 1 Adrenalyn XL 2019-2020,Panini,2020,1
UEFA Euro Poland-Ukraine 2012 Internazionale,Panini,2012,1
Conmebol Libertadores 2024,Panini,2024,1
